"","treated_unit","V2","V3","V4","V6","V7","V8","V9","V10","welcome","disclosure","Introcommu","oftenmbta","PoliID","ideology","party","obama","X2010","election","intoviews","numberim","Remain","Englishlan","raceintro","Asians","AfAms","Hispanics","MiddleEast","IntroDemo","Illegal_ma","illegal_us","age","residency","Friends","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community","Crime","Diverse","wealthcomm","Comments","End","assignment","line","station","train","time","treatment","white","residency.new","liberal","conservative","democract","republican","obama.approve","obama.disapprove","ride.everyday","voted.2010","obama.voter","romney.voter","college","us.born","hispanic.new","income.new","male","missing"
"197","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"50.77.27.106",0,"2012-07-18 05:35:27","2012-07-18 05:46:10",1,1,1,1,4,1,4,3,5,5,7,1,2,4,1,1,1,1,1,1,1,1,20,35,4,5,NA,NA,NA,1,NA,2,2,3,1,6,1,3,3,3,"You appear to be looking for information on how people only feel about Mexicans or Latinos.  A more important question would be how we feel about illegal aliens of any ethnicity. /  / The credit card info in the beginning of the survey is incorrect.  I received Mastercards - they always begin with a ""5"", not a ""4""",1,"T2b","Franklin","Norfolk","704","6:19",1,1,12.5,0,1,0,1,0,1,1,1,0,1,0,1,0,115000,0,0
"198","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"174.252.57.177",0,"2012-07-18 04:13:27","2012-07-18 04:37:36",1,1,1,1,4,1,1,1,1,5,1,1,3,1,5,1,1,1,1,1,1,1,1,29,3,2,NA,1,NA,NA,NA,2,1,5,2,7,1,3,3,3,"",1,"T2a","Franklin","Norfolk","704","6:19",1,0,7.5,1,0,1,0,1,0,1,1,1,0,1,0,0,135000,1,0
"199","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"166.186.168.95",0,"2012-07-18 04:50:06","2012-07-18 05:03:08",1,1,1,1,4,1,5,2,5,5,7,1,3,5,1,1,1,1,1,1,1,5,9,30,4,15,NA,NA,NA,1,NA,2,1,5,1,9,1,4,5,3,"The issue with respect to immigration policy is that every ethnic group that has come here has done so legally.  Amnesty can work if and only if thy pay a fee to cover the social costs they haven't paid via taxes.   No free ride.  We are the land of opportunity and home of the free... Not the home of the free lunch...  Pay the fee. Welcome to becoming a citizen and being responsible member of our society.",1,"T2b","Franklin","Norfolk","704","6:19",1,1,12.5,0,1,0,0,0,1,1,1,0,1,1,1,0,300000,1,0
"200","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"108.20.213.38",0,"2012-07-27 09:14:48","2012-07-27 09:21:59",1,1,1,1,4,1,2,2,2,5,1,1,2,2,4,1,1,1,1,1,1,4,4,28,2,3,NA,NA,NA,1,NA,2,2,6,1,8,1,3,3,3,"I would be interested to see the results.  I wonder if you have expectations about the results you are going to receive and what you are trying to establish in the way of correlations, etc.",1,"t2c","Franklin","Norfolk","708","7:14",0,1,3.5,1,0,0,0,1,0,1,1,1,0,1,1,0,250000,0,1
"201","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"143.115.159.53",0,"2012-07-18 06:42:13","2012-07-18 06:48:21",1,1,1,1,4,1,3,3,2,5,3,1,4,5,1,1,1,1,1,1,1,5,15,9,2,1,NA,NA,NA,1,NA,2,1,5,1,4,1,3,3,3,"",1,"T2a","Franklin","Norfolk","708","7:14",0,1,3.5,0,0,0,1,1,0,1,1,0,0,1,1,0,62500,1,1
"202","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"205.135.136.10",0,"2012-07-18 12:24:48","2012-07-18 12:37:25",1,1,1,1,4,1,4,4,5,5,7,1,3,5,1,1,1,2,2,1,1,1,1,46,2,0,NA,NA,NA,1,NA,2,1,5,1,8,1,3,3,3,"Why does the survey only refer to Latinos as Mexicans?  I believe the great majority of Latinos living in the Boston area are from other Central/South American countries.  ",1,"T2a","Franklin","Norfolk","708","7:14",0,1,3.5,0,1,0,0,0,1,1,1,0,1,1,1,0,250000,1,0
"203","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"74.9.45.154",0,"2012-07-18 11:37:18","2012-07-18 11:41:36",1,1,1,1,4,1,4,3,5,5,7,1,5,4,1,1,1,1,1,1,1,40,40,13,1,0,NA,NA,NA,1,NA,2,1,4,1,6,1,3,3,3,"",1,"T2a","Franklin","Norfolk","708","7:14",0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,115000,1,1
"204","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"198.228.207.186",0,"2012-07-18 05:28:26","2012-07-18 05:38:48",1,1,1,1,4,1,2,1,2,5,1,1,4,4,2,1,4,1,1,1,1,2,5,13,2,0,NA,NA,NA,1,NA,2,2,6,1,7,1,3,3,3,"",1,"T2a","Franklin","Norfolk","708","7:14",0,1,3.5,1,0,1,0,1,0,1,1,1,0,1,1,0,135000,0,0
"205","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"192.223.243.5",0,"2012-07-18 12:19:11","2012-07-18 12:28:41",1,1,1,1,4,1,4,2,2,5,3,1,5,2,1,1,1,1,1,1,1,5,30,29,1,0,NA,NA,NA,1,NA,2,1,5,1,8,1,3,3,3,"",1,"T2a","Franklin","Norfolk","708","7:14",0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,250000,1,1
"206","Franklin_Norfolk_708","Default Response Set","Anonymous",NA,"108.20.145.158",0,"2012-07-18 19:45:35","2012-07-18 19:50:45",1,1,1,1,4,1,3,1,3,1,2,1,2,2,4,1,1,1,1,1,1,4,5,5,6,2,NA,NA,NA,1,NA,2,1,5,1,3,1,3,3,3,"",1,"T2b","Franklin","Norfolk","708","7:14",0,1,23.0337078651685,0,0,1,0,0,0,1,0,1,0,1,1,0,42500,1,0
